prompt,outdir,init_img,skip_grid,skip_save,ddim_steps,ddim_eta,n_iter,H,W,strength,C,f,n_samples,n_rows,scale,from_file,seed,small_batch,precision,ckpt,turbo,device,unet_bs,sampler
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/EnterFolderName,C:\Users\artad\Desktop\EnterFolderName\ai_art_wallpaper_made_with_splash_of_color\latest.png,True,False,50,0.0,3,512,512,0.65,4,8,1,0,10.0,C:\Users\artad/artroom/settings/prompt.txt,1366394561,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,False,,,
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/EnterFolderName,C:\Users\artad\Desktop\EnterFolderName\ai_art_wallpaper_made_with_splash_of_color\latest.png,True,False,50,0.0,3,512,512,0.65,4,8,1,0,10.0,C:\Users\artad/artroom/settings/prompt.txt,91685295,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,False,cuda,,
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/EnterFolderName,C:\Users\artad\Desktop\EnterFolderName\ai_art_wallpaper_made_with_splash_of_color\latest.png,True,False,50,0.0,3,512,512,0.65,4,8,1,0,10.0,C:\Users\artad/artroom/settings/prompt.txt,276011963,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,False,cuda,1.0,
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/armorweight,C:\Users\artad\Downloads\Arturmame_1_1000px.png,True,False,50,0.0,2,512,512,0.4,4,8,1,0,15.0,C:\Users\artad/artroom/settings/prompt.txt,2648857825,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,True,cuda,1.0,
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/armorweight,C:\Users\artad\Downloads\Arturmame_1_1000px.png,True,False,50,0.0,2,512,512,0.4,4,8,1,0,15.0,C:\Users\artad/artroom/settings/prompt.txt,2648857825,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,True,cuda,1.0,
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/armorweight,C:\Users\artad\Downloads\Arturmame_1_1000px.png,True,False,50,0.0,2,512,512,0.4,4,8,1,0,15.0,C:\Users\artad/artroom/settings/prompt.txt,2648857825,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,True,cuda,1.0,
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/armorweight,C:\Users\artad\Downloads\Arturmame_1_1000px.png,True,False,50,0.0,2,512,512,0.4,4,8,1,0,15.0,C:\Users\artad/artroom/settings/prompt.txt,2648857825,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,True,cuda,1.0,
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/armorweight,C:\Users\artad\Downloads\Arturmame_1_1000px.png,True,False,50,0.0,2,512,512,0.4,4,8,1,0,15.0,C:\Users\artad/artroom/settings/prompt.txt,2648857825,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,True,cuda,1.0,ddim
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/armorweight,C:\Users\artad\Downloads\Arturmame_1_1000px.png,True,False,50,0.0,2,512,512,0.4,4,8,1,0,15.0,C:\Users\artad/artroom/settings/prompt.txt,2648857825,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,True,cuda,1.0,plms
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/armorweight,C:\Users\artad\Downloads\Arturmame_1_1000px.png,True,False,50,0.0,2,512,512,0.4,4,8,1,0,15.0,C:\Users\artad/artroom/settings/prompt.txt,2648857825,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,True,cuda,1.0,ddim
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/armorweight,C:\Users\artad\Downloads\Arturmame_1_1000px.png,True,False,50,0.0,2,512,512,0.4,4,8,1,0,15.0,C:\Users\artad/artroom/settings/prompt.txt,2648857825,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,False,cuda,1.0,ddim
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/armorweight,C:\Users\artad\Downloads\Arturmame_1_1000px.png,True,False,50,0.0,2,512,512,0.4,4,8,1,0,15.0,C:\Users\artad/artroom/settings/prompt.txt,2648857825,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,True,cuda,1.0,ddim
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/armorweight,C:\Users\artad\Downloads\Arturmame_1_1000px.png,True,False,50,0.0,2,512,512,0.4,4,8,1,0,15.0,C:\Users\artad/artroom/settings/prompt.txt,2648857825,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,True,cuda,1.0,ddim
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/armorweight,C:\Users\artad\Downloads\Arturmame_1_1000px.png,True,False,50,0.0,2,512,512,0.4,4,8,1,0,15.0,C:\Users\artad/artroom/settings/prompt.txt,2648857825,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,True,cuda,1.0,ddim
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/armorweight,C:\Users\artad\Downloads\Arturmame_1_1000px.png,True,False,50,0.0,2,512,512,0.4,4,8,1,0,15.0,C:\Users\artad/artroom/settings/prompt.txt,2648857825,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,True,cuda,1.0,plms
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/armorweight,C:\Users\artad\Downloads\Arturmame_1_1000px.png,True,False,50,0.0,2,512,512,0.4,4,8,1,0,15.0,C:\Users\artad/artroom/settings/prompt.txt,2648857825,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,True,cuda,1.0,plms
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/armorweight,C:\Users\artad\Downloads\Arturmame_1_1000px.png,True,False,50,0.0,2,512,512,0.4,4,8,1,0,15.0,C:\Users\artad/artroom/settings/prompt.txt,2648857825,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,True,cuda,1.0,plms
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/armorweight,C:\Users\artad\Downloads\Arturmame_1_1000px.png,True,False,50,0.0,2,512,512,0.4,4,8,1,0,15.0,C:\Users\artad/artroom/settings/prompt.txt,2648857825,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,True,cuda,1.0,plms
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/armorweight,C:\Users\artad\Downloads\Arturmame_1_1000px.png,True,False,50,0.0,2,512,512,0.4,4,8,1,0,15.0,C:\Users\artad/artroom/settings/prompt.txt,2648857825,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,True,cuda,1.0,ddim
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/ballettutu,C:\Users\artad\Desktop\ballettutu\brunette_white_cleavage_ballerina_wearing_a_ballet_dress_beautiful_woman_with_large_breasts_highly_detailed_anime_ar\seed_2174065668_00014.png,True,False,50,0.0,5,1024,1024,0.2,4,8,1,0,10.0,C:\Users\artad/artroom/settings/prompt.txt,2174065671,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,True,cuda,1.0,ddim
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/ballettutu,C:\Users\artad\Desktop\ballettutu\brunette_white_cleavage_ballerina_wearing_a_ballet_dress_beautiful_woman_with_large_breasts_highly_detailed_anime_ar\seed_2174065668_00014.png,True,False,50,0.0,5,1024,1024,0.5,4,8,1,0,10.0,C:\Users\artad/artroom/settings/prompt.txt,2174065671,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,True,cuda,1.0,ddim
a painting of a virus monster playing guitar,C:\Users\artad\Desktop/ballettutu1,C:\Users\artad\Desktop\ballettutu\brunette_white_cleavage_ballerina_wearing_a_ballet_dress_beautiful_woman_with_large_breasts_highly_detailed_anime_ar\seed_2174065668_00014.png,True,False,50,0.0,5,1024,1024,0.5,4,8,1,0,10.0,C:\Users\artad/artroom/settings/prompt.txt,2174065671,False,autocast,C:\Users\artad/artroom/model_weights/model.ckpt,True,cuda,1.0,ddim
